lr-AdamW/pg1,lr-AdamW/pg2,step,train_loss,epoch,val_loss,val_f1
9.954033771106942e-05,9.954033771106942e-05,49,,,,
9.954033771106942e-05,9.954033771106942e-05,49,,,,
,,49,11.69123363494873,0,,
9.907129455909944e-05,9.907129455909944e-05,99,,,,
9.907129455909944e-05,9.907129455909944e-05,99,,,,
,,99,11.198233604431152,0,,
9.860225140712946e-05,9.860225140712946e-05,149,,,,
9.860225140712946e-05,9.860225140712946e-05,149,,,,
,,149,10.715508460998535,0,,
9.813320825515949e-05,9.813320825515949e-05,199,,,,
9.813320825515949e-05,9.813320825515949e-05,199,,,,
,,199,10.458288192749023,0,,
9.76641651031895e-05,9.76641651031895e-05,249,,,,
9.76641651031895e-05,9.76641651031895e-05,249,,,,
,,249,9.932995796203613,0,,
9.719512195121952e-05,9.719512195121952e-05,299,,,,
9.719512195121952e-05,9.719512195121952e-05,299,,,,
,,299,8.248547554016113,0,,
9.672607879924954e-05,9.672607879924954e-05,349,,,,
9.672607879924954e-05,9.672607879924954e-05,349,,,,
,,349,6.177672863006592,0,,
9.625703564727956e-05,9.625703564727956e-05,399,,,,
9.625703564727956e-05,9.625703564727956e-05,399,,,,
,,399,5.174412250518799,0,,
9.578799249530958e-05,9.578799249530958e-05,449,,,,
9.578799249530958e-05,9.578799249530958e-05,449,,,,
,,449,3.7139158248901367,0,,
9.531894934333959e-05,9.531894934333959e-05,499,,,,
9.531894934333959e-05,9.531894934333959e-05,499,,,,
,,499,2.9242842197418213,0,,
,,533,,0,2.4391846656799316,0.0011856899488926745
9.484990619136961e-05,9.484990619136961e-05,549,,,,
9.484990619136961e-05,9.484990619136961e-05,549,,,,
,,549,2.4108848571777344,1,,
9.438086303939963e-05,9.438086303939963e-05,599,,,,
9.438086303939963e-05,9.438086303939963e-05,599,,,,
,,599,2.0109786987304688,1,,
9.391181988742965e-05,9.391181988742965e-05,649,,,,
9.391181988742965e-05,9.391181988742965e-05,649,,,,
,,649,1.965395212173462,1,,
9.344277673545967e-05,9.344277673545967e-05,699,,,,
9.344277673545967e-05,9.344277673545967e-05,699,,,,
,,699,1.712984323501587,1,,
9.297373358348968e-05,9.297373358348968e-05,749,,,,
9.297373358348968e-05,9.297373358348968e-05,749,,,,
,,749,1.7665622234344482,1,,
9.25046904315197e-05,9.25046904315197e-05,799,,,,
9.25046904315197e-05,9.25046904315197e-05,799,,,,
,,799,1.6355348825454712,1,,
9.203564727954972e-05,9.203564727954972e-05,849,,,,
9.203564727954972e-05,9.203564727954972e-05,849,,,,
,,849,1.3792048692703247,1,,
9.156660412757975e-05,9.156660412757975e-05,899,,,,
9.156660412757975e-05,9.156660412757975e-05,899,,,,
,,899,1.263608455657959,1,,
9.109756097560977e-05,9.109756097560977e-05,949,,,,
